Selected,Order ID,ship-city,index,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,Day,Month,Year
No Yes,string,string,<\ 0.164477 0.164477\ -\ 0.379894 0.379894\ -\ 0.559268 0.559268\ -\ 0.765048 ≥\ 0.765048,<\ 2022-04-17\ 12:00:00 2022-04-17\ 12:00:00\ -\ 2022-04-30\ 12:00:00 2022-04-30\ 12:00:00\ -\ 2022-05-16\ 12:00:00 2022-05-16\ 12:00:00\ -\ 2022-06-06\ 12:00:00 ≥\ 2022-06-06\ 12:00:00,Cancelled Pending Pending\ -\ Waiting\ for\ Pick\ Up Shipped Shipped\ -\ Damaged Shipped\ -\ Delivered\ to\ Buyer Shipped\ -\ Lost\ in\ Transit Shipped\ -\ Out\ for\ Delivery Shipped\ -\ Picked\ Up Shipped\ -\ Rejected\ by\ Buyer Shipped\ -\ Returned\ to\ Seller Shipped\ -\ Returning\ to\ Seller Shipping,Amazon Merchant,Amazon.in Non-Amazon,Expedited Standard,Blouse Bottom Dupatta Ethnic\ Dress Saree Set Top Western\ Dress Kurta,3XL 4XL 5XL 6XL Free L M S XL XS XXL,Cancelled Shipped Unshipped,<\ 0.125 0.125\ -\ 0.375 0.375\ -\ 0.625 0.625\ -\ 0.875 ≥\ 0.875,discrete,<\ 0.0728844 0.0728844\ -\ 0.101365 0.101365\ -\ 0.129481 0.129481\ -\ 0.150045 ≥\ 0.150045,Andaman\ &\ nicobar Andhra\ pradesh Arunachal\ pradesh Assam Bihar Chandigarh Chhattisgarh Dadra\ and\ nagar Delhi Goa Gujarat Haryana Himachal\ pradesh Jammu\ &\ kashmir Jharkhand Karnataka Kerala Ladakh Lakshadweep Madhya\ pradesh Maharashtra Manipur Meghalaya Mizoram Nagaland New\ delhi Odisha Orissa Puducherry Punjab Punjab/mohali/zirakpur Rajasthan Rj Sikkim Tamil\ nadu Telangana Tripura Uttar\ pradesh Uttarakhand West\ bengal,<\ 0.185215 0.185215\ -\ 0.40401 0.40401\ -\ 0.56368 0.56368\ -\ 0.691869 ≥\ 0.691869,discrete,False True,discrete,<\ 0.2166667 0.2166667\ -\ 0.4166667 0.4166667\ -\ 0.5833333 0.5833333\ -\ 0.75 ≥\ 0.75,<\ 0.166667 0.166667\ -\ 0.5 0.5\ -\ 0.833333 ≥\ 0.833333,discrete
class,meta,meta,,,,,,,,,,,,,,,,,,,,
No,171-9198151-1101146,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,406-7807733-3785945,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,S,Shipped,< 0.125,INR,< 0.0728844,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-5513694-8146768,Amravati.,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XS,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,408-1298370-1920302,Mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,0.129481 - 0.150045,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,403-4965581-9520319,Guntakal,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,6XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Andhra pradesh,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,402-4030358-5835511,Gurgaon,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Haryana,< 0.185215,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,405-8191138-5176316,Ranchi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XS,Shipped,< 0.125,INR,0.101365 - 0.129481,Jharkhand,≥ 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,403-9230474-9657916,Bilaspur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,< 0.0728844,Chhattisgarh,0.40401 - 0.56368,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
No,404-9632124-1107550,Visakhapatnam,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,≥ 0.150045,Andhra pradesh,0.56368 - 0.691869,IN,False,Easy Ship,≥ 0.75,0.166667 - 0.5,single_value
